EVTDESC145960;The Chinese have sabotaged their own gold mine before we took control, rendering it unusable!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA145960;Bastards!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME145961;Gold Mine Discovered!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC145961;A new gold mine has been discovered in $PROVINCENAME$!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA145961;Lets get to work!!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
interwar_warfare;Interwar Warfare;;;;;;;;;x;;;;
interwar_warfare_desc;The age of interwar warfare has begun, allowing more frontage.;;;;;;;;;x;;;;
interwar_warfare_2;Interwar Warfare 1925;;;;;;;;;x;;;;
interwar_warfare_2_desc;The age of interwar warfare has continued, allowing more frontage.;;;;;;;;;x;;;;
recently_demoted;Recently Fired Bureaucrats;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
recently_demoted_desc;We have recently fired unaccepted bureaucrats to save on our administrative spending.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
demote_crats_title;Fire All Minority Bureaucrats;;;;;;;;;;;;;x
demote_crats_desc;Fire all minority bureaucrats and demote them to farmers and labourers, however this may affect our administrative effiency short-term.;;;;;;;;;;;;;x
gtfo_kiddo_title;Kick All Players not Allied to You;;;;;;;;;;;;;x
gtfo_kiddo_desc;Does what it says.;;;;;;;;;;;;;x
ally_all_players_title;Ally All Player Countries in the Game;;;;;;;;;;;;;x
ally_all_players_desc;Does what it says.;;;;;;;;;;;;;x
end_all_wars_title;Ends All Wars Against You;;;;;;;;;;;;;x
end_all_wars_desc;Does what it says.;;;;;;;;;;;;;x
mp_change_national_value_on_title;Change National Value (Active);;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_change_national_value_on_desc;Turn on the function to change the National Value.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_change_national_value_off_title;Change National Value (Inactive);;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_change_national_value_off_desc;Turn off the function to change the National Value.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
mp_switch_to_order_desc;The foreigners progress and dominate through an orderly and organized society, based on a sense of duty to their country. If we were to embrace this ideal, we might strive as they do.\n\n§YThe modifiers for this NV are:§W\n§GLand and Naval Organization: +10%\nLand and Naval Units Starting Experience: +0.10\nOrganization Regain Rate: +5%\n§RMobilization Impact on Economy: +75%\nPops will be slightly more conservative.§W;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
mp_switch_to_production_title;Embrace the Ideal of Productivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
mp_switch_to_production_desc;The foreigners progress through an industrious society based on hard work. If we were to embrace this ideal, we might progress as they do.\n\n§YThe modifiers for this NV are:§W\n§GTax Efficiency: +10%\nFactory, RGO and Artisan Throughput: +5%\nCommerce Tech Research Bonus: 5%\n§RMobilization Impact on Economy: +50%§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
mp_switch_to_autocracy_title;Embrace the Ideal of Autocracy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
mp_switch_to_autocracy_desc;The foreigners progress through a society based on strong leadership, obedience and loyalty. If we were to embrace this ideal, we might progress as they do.\n\n§YThe modifiers for this NV are:§W\n§GRuling Party Support: +25%§W\n§RSocial and Political Reform Desire: -5%\nLiteracy Impact on Consciousness: -10%§W\n§GMobilization Size: +1%§W\n§RMobilization Impact on Economy: +100%\nPops will be more conservative and will be more inclined to adopt the current government (fascist, communist, anarcho-liberal) ideology.§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
mp_switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.\n\n§YThe modifiers for this NV are:§W\n§GAssimilation Rate: +10%\nSocial Reform Desire: +5%\nImmigrant Attract: +5%\nPop Militancy: -0.01\nCulture Tech Research Bonus: 5%\n§RMobilization Impact on Economy: +110%\nPops will be slightly more socialist.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_switch_to_liberty_title;Embrace the Ideal of Liberty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mp_switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of liberty and personal freedom above all else.\n\n§YThe modifiers for this NV are:§W\n§GPolitical Reform Desire: +5%\nImmigrant Attraction: +5%\nCommerce Tech Research Bonus: 5%\n§RMobilization Impact on Economy: +110%\nPops will be slightly more liberal.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
